cover,title,author,publisher,isbn,timestamp,activity,details,library
https://img1.od-cdn.com/ImageType-100/2390-1/{F2755D16-8265-4B7E-8D4E-FB707E22F77E}Img100.jpg,Crooked Kingdom,Leigh Bardugo,Henry Holt and Co. (BYR),9781627797917,"January 02, 2023 03:00",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2390-1/{9DEC75E6-F795-437C-9897-A6926B466EBA}Img100.jpg,Six of Crows,Leigh Bardugo,Henry Holt and Co. (BYR),9781627795227,"January 02, 2023 03:00",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{18AA2FBD-D700-4A92-BC5F-94B91030E2F1}IMG100.JPG,They Both Die at the End,Adam Silvera,HarperCollins,9780062457813,"January 01, 2023 18:31",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{B1C350B4-AE25-4202-9B05-11DE643E8A40}Img100.jpg,Iron Widow,Xiran Jay Zhao,Tundra Book Group,9780735269941,"January 01, 2023 18:31",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0111-1/{08EBF66D-F705-4DCE-AE80-32F8B8DFCD97}Img100.jpg,When Women Were Dragons,Kelly Barnhill,Knopf Doubleday Publishing Group,9780385548236,"January 01, 2023 18:30",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2183-1/{33A71567-38C1-40F8-98D0-915C069443E4}IMG100.JPG,The Priory of the Orange Tree,Samantha Shannon,Bloomsbury Publishing,9781635570281,"January 01, 2023 00:46",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{B462AC21-6327-4E02-8512-6B96782F087B}IMG100.JPG,Fugitive Telemetry,Martha Wells,"Recorded Books, Inc.",9781980080633,"December 31, 2022 20:58",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{DF1B8FC5-DC96-4D0B-9926-70DDB547F82A}Img100.jpg,When Women Were Dragons,Kelly Barnhill,Books on Tape,9780593589311,"December 29, 2022 19:33",renew,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{C004A7DA-8984-43AE-8AB8-DAF199A8BE19}Img100.jpg,Life and Death,Stephenie Meyer,"Little, Brown Books for Young Readers",9780316557955,"December 29, 2022 19:33",Returned, 1 day  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{73395B7C-95D8-4B97-918E-82B70F392489}Img100.jpg,Aurora Rising,"Amie Kaufman, Jay Kristoff",Books on Tape,9781524780777,"December 29, 2022 19:32",Returned, 2 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{0A760D6B-F864-4E95-89C6-E1E3ED6964AE}Img100.jpg,Aurora Burning,"Amie Kaufman, Jay Kristoff",Books on Tape,9781524780814,"December 29, 2022 19:31",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{1946599C-2AB7-49DC-A5A9-1F4C3DD9C5D0}Img100.jpg,The Alchemist,Paulo Coelho,HarperCollins,9780062416216,"December 28, 2022 05:27",Returned,on due date,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{AA05D4F9-2E76-4C3B-BB40-81B8D2DAF178}Img100.jpg,They Both Die at the End,Adam Silvera,Quill Tree Books,9780062740694,"December 25, 2022 19:54",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{93E0A6EB-2567-4B58-9D2F-F9D6F82E9010}IMG100.JPG,Exit Strategy,Martha Wells,"Recorded Books, Inc.",9781501999994,"December 24, 2022 18:40",Returned, 12 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2343-1/{F08B276C-0493-4577-B907-229F15A3DC7B}Img100.jpg,Then She Was Gone,Lisa Jewell,Dreamscape Media,9781666605266,"December 24, 2022 18:40",Returned, 2 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0955-1/{B9C64692-B54B-4635-8155-273B49242F02}Img100.jpg,Ever After,Olivia Vieweg,Lerner Publishing Group,9781728405292,"December 21, 2022 18:06",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1493-1/{E55BD724-CEC3-455D-871E-AD3F57E00134}IMG100.JPG,Legends & Lattes,Travis Baldree,Macmillan Audio,9781250889652,"December 21, 2022 18:05",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{93E0A6EB-2567-4B58-9D2F-F9D6F82E9010}IMG100.JPG,Exit Strategy,Martha Wells,"Recorded Books, Inc.",9781501999994,"December 16, 2022 03:29",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{18AA2FBD-D700-4A92-BC5F-94B91030E2F1}IMG100.JPG,They Both Die at the End,Adam Silvera,HarperCollins,9780062457813,"December 14, 2022 16:59",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{B462AC21-6327-4E02-8512-6B96782F087B}IMG100.JPG,Fugitive Telemetry,Martha Wells,"Recorded Books, Inc.",9781980080633,"December 14, 2022 14:50",Returned, 8 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{937D1040-5B83-4F36-B623-3710EF53E5B5}IMG100.JPG,Network Effect,Martha Wells,"Recorded Books, Inc.",9781980021711,"December 14, 2022 14:50",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{937D1040-5B83-4F36-B623-3710EF53E5B5}IMG100.JPG,Network Effect,Martha Wells,"Recorded Books, Inc.",9781980021711,"December 14, 2022 14:50",Returned, 8 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{93E0A6EB-2567-4B58-9D2F-F9D6F82E9010}IMG100.JPG,Exit Strategy,Martha Wells,"Recorded Books, Inc.",9781501999994,"December 14, 2022 14:50",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{B1C350B4-AE25-4202-9B05-11DE643E8A40}Img100.jpg,Iron Widow,Xiran Jay Zhao,Tundra Book Group,9780735269941,"December 14, 2022 14:48",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{DF1B8FC5-DC96-4D0B-9926-70DDB547F82A}Img100.jpg,When Women Were Dragons,Kelly Barnhill,Books on Tape,9780593589311,"December 11, 2022 15:03",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{18AA2FBD-D700-4A92-BC5F-94B91030E2F1}IMG100.JPG,They Both Die at the End,Adam Silvera,HarperCollins,9780062457813,"December 11, 2022 02:38",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{AA05D4F9-2E76-4C3B-BB40-81B8D2DAF178}Img100.jpg,They Both Die at the End,Adam Silvera,Quill Tree Books,9780062740694,"December 11, 2022 02:38",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{73395B7C-95D8-4B97-918E-82B70F392489}Img100.jpg,Aurora Rising,"Amie Kaufman, Jay Kristoff",Books on Tape,9781524780777,"December 11, 2022 02:37",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{3E34E5ED-11B8-43B4-B838-621F65940A94}Img100.jpg,Gulp,Mary Roach,"Tantor Media, Inc.",9781452683423,"December 10, 2022 20:51",Returned, 4 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{C004A7DA-8984-43AE-8AB8-DAF199A8BE19}Img100.jpg,Life and Death,Stephenie Meyer,"Little, Brown Books for Young Readers",9780316557955,"December 10, 2022 15:50",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{B1C350B4-AE25-4202-9B05-11DE643E8A40}Img100.jpg,Iron Widow,Xiran Jay Zhao,Tundra Book Group,9780735269941,"December 10, 2022 02:36",Returned,on due date,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0111-1/{08EBF66D-F705-4DCE-AE80-32F8B8DFCD97}Img100.jpg,When Women Were Dragons,Kelly Barnhill,Knopf Doubleday Publishing Group,9780385548236,"December 08, 2022 00:05",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{DF1B8FC5-DC96-4D0B-9926-70DDB547F82A}Img100.jpg,When Women Were Dragons,Kelly Barnhill,Books on Tape,9780593589311,"December 08, 2022 00:05",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{B1C350B4-AE25-4202-9B05-11DE643E8A40}Img100.jpg,Iron Widow,Xiran Jay Zhao,Tundra Book Group,9780735269941,"December 07, 2022 15:11",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{1946599C-2AB7-49DC-A5A9-1F4C3DD9C5D0}Img100.jpg,The Alchemist,Paulo Coelho,HarperCollins,9780062416216,"December 07, 2022 05:27",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{30D8C23A-48DA-4E98-8034-C7C8AFDD81C6}IMG100.JPG,The Hawthorne Legacy,Jennifer Lynn Barnes,"Little, Brown Books for Young Readers",9780759557642,"December 07, 2022 05:23",Returned, 11 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{673F89F4-F721-4DD4-A8B3-73423AA1395D}IMG100.JPG,The Final Gambit,Jennifer Lynn Barnes,"Little, Brown Books for Young Readers",9780316371124,"December 07, 2022 05:22",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/4575-1/{28515436-BD3D-4D63-9E11-F6AD12B5F8A5}IMG100.JPG,The Final Gambit,Jennifer Lynn Barnes,Hachette Audio,9781668605868,"December 07, 2022 05:22",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2343-1/{F08B276C-0493-4577-B907-229F15A3DC7B}Img100.jpg,Then She Was Gone,Lisa Jewell,Dreamscape Media,9781666605266,"December 06, 2022 17:17",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{02EAC8C0-8A00-4CE3-96C0-59EF3A724D3A}IMG100.JPG,The Inheritance Games,Jennifer Lynn Barnes,"Little, Brown Books for Young Readers",9781368053242,"December 03, 2022 15:59",Returned, 10 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0174-1/{FD561CEF-0554-4F97-BA7D-AFEFAC15B30D}Img100.jpg,Five Total Strangers,Natalie D. Richards,Sourcebooks,9781492657224,"December 03, 2022 15:59",Returned, 2 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{D101C7AD-39B9-4478-822F-25A1ADE8683A}IMG100.JPG,Rogue Protocol,Martha Wells,"Recorded Books, Inc.",9781501999796,"December 03, 2022 05:16",Returned, 9 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{7CBFB589-F059-46B8-A33C-247D3F2A1DA3}IMG100.JPG,Artificial Condition,Martha Wells,"Recorded Books, Inc.",9781501977831,"December 02, 2022 02:01",Returned, 16 days  early,Spokane Public Library
